case_id,slice,language_profile,audio_duration_sec,segment_idx,start_sec,end_sec,duration_sec,pyannote_speaker,gt_role,text,llm_role,llm_correct
v2_core001,clean_turn_taking,mandarin,45.46,14,31.891,32.903,1.012,SPEAKER_01,customer,那受益人還是銀行嗎？如果貸款清掉，我想改成家人。,,
v2_core001,clean_turn_taking,mandarin,45.46,15,33.292,34.253,0.962,SPEAKER_01,customer,那受益人還是銀行嗎？如果貸款清掉，我想改成家人。,,
v2_core001,clean_turn_taking,mandarin,45.46,16,34.76,36.751,1.991,SPEAKER_00,agent,目前第一順位仍是銀行。清償後可以申請變更受益人，通常要附銀行清償證明。,,
v2_core001,clean_turn_taking,mandarin,45.46,17,37.612,40.16,2.548,SPEAKER_00,agent,目前第一順位仍是銀行。清償後可以申請變更受益人，通常要附銀行清償證明。,,
v2_core001,clean_turn_taking,mandarin,45.46,18,40.43,42.387,1.958,SPEAKER_00,agent,目前第一順位仍是銀行。清償後可以申請變更受益人，通常要附銀行清償證明。,,
v2_core001,clean_turn_taking,mandarin,45.46,19,42.809,43.13,0.321,SPEAKER_01,customer,好，我等銀行結清文件下來再辦。,,
v2_core001,clean_turn_taking,mandarin,45.46,20,43.383,45.374,1.991,SPEAKER_01,customer,好，我等銀行結清文件下來再辦。,,
v2_core002,clean_turn_taking,mandarin,46.47,0,0.031,1.077,1.046,SPEAKER_01,agent,凱基人壽您好，我姓賀，請問需要協助查詢哪個服務？,,
v2_core002,clean_turn_taking,mandarin,46.47,1,1.465,1.988,0.523,SPEAKER_01,agent,凱基人壽您好，我姓賀，請問需要協助查詢哪個服務？,,
v2_core002,clean_turn_taking,mandarin,46.47,2,2.377,4.115,1.738,SPEAKER_01,agent,凱基人壽您好，我姓賀，請問需要協助查詢哪個服務？,,
v2_core002,clean_turn_taking,mandarin,46.47,3,4.705,6.241,1.536,SPEAKER_00,customer,我昨天到東京，但托運行李今天早上才送到飯店，我買換洗衣物能不能申請？,,
v2_core002,clean_turn_taking,mandarin,46.47,4,6.46,10.072,3.611,SPEAKER_00,customer,我昨天到東京，但托運行李今天早上才送到飯店，我買換洗衣物能不能申請？,,
v2_core002,clean_turn_taking,mandarin,46.47,5,10.46,13.075,2.616,SPEAKER_00,customer,我昨天到東京，但托運行李今天早上才送到飯店，我買換洗衣物能不能申請？,,
v2_core002,clean_turn_taking,mandarin,46.47,6,13.48,14.83,1.35,SPEAKER_01,agent,先確認保障內容。請問投保人姓名和手機末三碼？,,
v2_core002,clean_turn_taking,mandarin,46.47,7,16.028,18.205,2.177,SPEAKER_01,agent,先確認保障內容。請問投保人姓名和手機末三碼？,,
v2_core002,clean_turn_taking,mandarin,46.47,8,18.627,21.884,3.257,SPEAKER_00,customer,李佳恩，手機末三碼三一九。,,
v2_core002,clean_turn_taking,mandarin,46.47,9,22.424,24.365,1.941,SPEAKER_01,agent,您的旅平險有行李延誤保障。請保留航空公司延誤證明、購物明細和刷卡單。,,
v2_core002,clean_turn_taking,mandarin,46.47,10,25.546,27.301,1.755,SPEAKER_01,agent,您的旅平險有行李延誤保障。請保留航空公司延誤證明、購物明細和刷卡單。,,
v2_core002,clean_turn_taking,mandarin,46.47,11,27.571,28.988,1.418,SPEAKER_01,agent,您的旅平險有行李延誤保障。請保留航空公司延誤證明、購物明細和刷卡單。,,
v2_core002,clean_turn_taking,mandarin,46.47,12,29.444,32.752,3.308,SPEAKER_00,customer,便利商店買的盥洗用品也算嗎？發票是日文。,,
v2_core002,clean_turn_taking,mandarin,46.47,13,34.118,35.536,1.417,SPEAKER_00,customer,便利商店買的盥洗用品也算嗎？發票是日文。,,
v2_core002,clean_turn_taking,mandarin,46.47,14,36.093,36.751,0.658,SPEAKER_01,agent,可以先送，審核會看購買時間和品項是否屬於必要用品。日文發票不用先翻譯。,,
v2_core002,clean_turn_taking,mandarin,46.47,15,37.156,40.092,2.936,SPEAKER_01,agent,可以先送，審核會看購買時間和品項是否屬於必要用品。日文發票不用先翻譯。,,
v2_core002,clean_turn_taking,mandarin,46.47,16,41.29,42.826,1.536,SPEAKER_01,agent,可以先送，審核會看購買時間和品項是否屬於必要用品。日文發票不用先翻譯。,,
v2_core002,clean_turn_taking,mandarin,46.47,17,43.214,43.889,0.675,SPEAKER_00,customer,了解，我把收據都拍照備份。,,
v2_core002,clean_turn_taking,mandarin,46.47,18,44.108,46.42,2.312,SPEAKER_00,customer,了解，我把收據都拍照備份。,,
v2_core003,clean_turn_taking,mandarin,47.15,0,0.031,0.723,0.692,SPEAKER_00,customer,您好，這裡是凱基人壽客服，我姓鄭。,,
v2_core003,clean_turn_taking,mandarin,47.15,1,0.875,4.165,3.291,SPEAKER_00,customer,您好，這裡是凱基人壽客服，我姓鄭。,,
v2_core003,clean_turn_taking,mandarin,47.15,2,4.722,5.515,0.793,SPEAKER_00,customer,鄭小姐，我兒子手被熱湯燙到，急診後每兩天換藥，這算意外醫療嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,3,5.667,7.422,1.755,SPEAKER_00,customer,鄭小姐，我兒子手被熱湯燙到，急診後每兩天換藥，這算意外醫療嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,4,7.675,9.295,1.62,SPEAKER_00,customer,鄭小姐，我兒子手被熱湯燙到，急診後每兩天換藥，這算意外醫療嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,5,9.548,10.763,1.215,SPEAKER_00,customer,鄭小姐，我兒子手被熱湯燙到，急診後每兩天換藥，這算意外醫療嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,6,11.27,15.59,4.32,SPEAKER_01,agent,要看保單是否有意外醫療實支或日額。請提供被保險人姓名和出生年月日。,,
v2_core003,clean_turn_taking,mandarin,47.15,7,16.484,20.5,4.016,SPEAKER_01,agent,要看保單是否有意外醫療實支或日額。請提供被保險人姓名和出生年月日。,,
v2_core003,clean_turn_taking,mandarin,47.15,8,20.939,21.665,0.726,SPEAKER_01,agent,吳承佑，民國一百一十年八月十四日。,,
v2_core003,clean_turn_taking,mandarin,47.15,9,21.901,24.247,2.346,SPEAKER_01,agent,吳承佑，民國一百一十年八月十四日。,,
v2_core003,clean_turn_taking,mandarin,47.15,10,24.803,27.267,2.464,SPEAKER_01,agent,查到有意外醫療實支。急診收據和後續換藥收據都請保留，診斷書需寫明燙傷原因。,,
v2_core003,clean_turn_taking,mandarin,47.15,11,28.178,32.245,4.067,SPEAKER_01,agent,查到有意外醫療實支。急診收據和後續換藥收據都請保留，診斷書需寫明燙傷原因。,,
v2_core003,clean_turn_taking,mandarin,47.15,12,32.448,35.08,2.633,SPEAKER_01,agent,查到有意外醫療實支。急診收據和後續換藥收據都請保留，診斷書需寫明燙傷原因。,,
v2_core003,clean_turn_taking,mandarin,47.15,13,35.57,37.831,2.261,SPEAKER_00,customer,診斷書如果只寫二度燙傷，沒有寫熱湯，可以嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,14,38.101,39.063,0.962,SPEAKER_00,customer,診斷書如果只寫二度燙傷，沒有寫熱湯，可以嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,15,39.299,39.839,0.54,SPEAKER_00,customer,診斷書如果只寫二度燙傷，沒有寫熱湯，可以嗎？,,
v2_core003,clean_turn_taking,mandarin,47.15,16,40.328,43.18,2.852,SPEAKER_01,agent,建議請醫師補上事故原因，避免審核時無法判定是意外事故。,,
v2_core003,clean_turn_taking,mandarin,47.15,17,43.433,47.062,3.628,SPEAKER_01,agent,建議請醫師補上事故原因，避免審核時無法判定是意外事故。,,
v2_core004,clean_turn_taking,mandarin,31.99,0,0.031,2.917,2.886,SPEAKER_01,customer,我剛剛聽到減額繳清不用再繳主約，可是我最在意的是醫療附約會不會一起沒了。,,
v2_core004,clean_turn_taking,mandarin,31.99,1,3.22,6.359,3.139,SPEAKER_01,customer,我剛剛聽到減額繳清不用再繳主約，可是我最在意的是醫療附約會不會一起沒了。,,
v2_core004,clean_turn_taking,mandarin,31.99,2,6.832,9.717,2.886,SPEAKER_00,agent,這個要看附約是否能跟著減額後的主約延續。您的契約目前有兩個醫療附約。,,
v2_core004,clean_turn_taking,mandarin,31.99,3,11.0,13.042,2.042,SPEAKER_00,agent,這個要看附約是否能跟著減額後的主約延續。您的契約目前有兩個醫療附約。,,
v2_core004,clean_turn_taking,mandarin,31.99,4,13.463,15.37,1.907,SPEAKER_01,customer,我如果只是短期繳不起，減額繳清會不會太極端？,,
v2_core004,clean_turn_taking,mandarin,31.99,5,15.607,17.513,1.907,SPEAKER_01,customer,我如果只是短期繳不起，減額繳清會不會太極端？,,
v2_core004,clean_turn_taking,mandarin,31.99,6,18.02,19.387,1.367,SPEAKER_00,agent,若只是短期資金壓力，也可以先比較自動墊繳、保單借款或降低附約額度。,,
v2_core004,clean_turn_taking,mandarin,31.99,7,19.758,21.209,1.451,SPEAKER_00,agent,若只是短期資金壓力，也可以先比較自動墊繳、保單借款或降低附約額度。,,
v2_core004,clean_turn_taking,mandarin,31.99,8,21.496,23.285,1.789,SPEAKER_00,agent,若只是短期資金壓力，也可以先比較自動墊繳、保單借款或降低附約額度。,,
v2_core004,clean_turn_taking,mandarin,31.99,9,23.673,25.242,1.569,SPEAKER_01,customer,我不想動醫療保障，那先不要減額。,,
v2_core004,clean_turn_taking,mandarin,31.99,10,25.445,26.643,1.198,SPEAKER_01,customer,我不想動醫療保障，那先不要減額。,,
v2_core004,clean_turn_taking,mandarin,31.99,11,27.115,27.52,0.405,SPEAKER_00,agent,可以，我建議先請業務員提供幾種試算，確認影響後再決定。,,
v2_core004,clean_turn_taking,mandarin,31.99,12,27.993,30.203,2.211,SPEAKER_00,agent,可以，我建議先請業務員提供幾種試算，確認影響後再決定。,,
v2_core004,clean_turn_taking,mandarin,31.99,13,30.558,31.908,1.35,SPEAKER_00,agent,可以，我建議先請業務員提供幾種試算，確認影響後再決定。,,
v2_core005,clean_turn_taking,mandarin,46.07,0,0.031,2.208,2.177,SPEAKER_00,customer,凱基人壽客服中心您好，我姓程。,,
v2_core005,clean_turn_taking,mandarin,46.07,1,2.326,2.41,0.084,SPEAKER_00,customer,凱基人壽客服中心您好，我姓程。,,
v2_core005,clean_turn_taking,mandarin,46.07,2,2.41,3.035,0.624,SPEAKER_01,agent,凱基人壽客服中心您好，我姓程。,,
v2_core005,clean_turn_taking,mandarin,46.07,3,3.035,3.119,0.084,SPEAKER_00,customer,凱基人壽客服中心您好，我姓程。,,
v2_core005,clean_turn_taking,mandarin,46.07,4,3.727,4.638,0.911,SPEAKER_00,customer,程小姐，我父親上週過世，我想先確認身故理賠要準備哪些文件。,,
v2_core005,clean_turn_taking,mandarin,46.07,5,4.891,6.713,1.822,SPEAKER_00,customer,程小姐，我父親上週過世，我想先確認身故理賠要準備哪些文件。,,
v2_core005,clean_turn_taking,mandarin,46.07,6,7.0,11.185,4.185,SPEAKER_00,customer,程小姐，我父親上週過世，我想先確認身故理賠要準備哪些文件。,,
v2_core005,clean_turn_taking,mandarin,46.07,7,11.692,11.995,0.304,SPEAKER_00,customer,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,8,11.995,12.029,0.034,SPEAKER_01,agent,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,9,12.029,12.08,0.051,SPEAKER_00,customer,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,10,12.08,12.113,0.034,SPEAKER_01,agent,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,11,12.113,12.164,0.051,SPEAKER_00,customer,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,12,12.164,12.333,0.169,SPEAKER_01,agent,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,13,13.261,13.278,0.017,SPEAKER_00,customer,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,14,13.278,15.067,1.789,SPEAKER_01,agent,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,15,15.387,16.585,1.198,SPEAKER_01,agent,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,16,16.872,19.707,2.835,SPEAKER_01,agent,請節哀。我可以先說明一般文件，包含死亡證明、除戶戶籍謄本和受益人身分資料。,,
v2_core005,clean_turn_taking,mandarin,46.07,17,20.146,22.728,2.582,SPEAKER_00,customer,受益人是我和弟弟兩個人，是不是兩個人都要簽名？,,
v2_core005,clean_turn_taking,mandarin,46.07,18,22.897,25.445,2.548,SPEAKER_00,customer,受益人是我和弟弟兩個人，是不是兩個人都要簽名？,,
v2_core005,clean_turn_taking,mandarin,46.07,19,26.035,27.622,1.586,SPEAKER_01,agent,若兩位都是受益人，通常各自填寫申請書並附身分證明，給付會依受益比例辦理。,,
v2_core005,clean_turn_taking,mandarin,46.07,20,27.892,31.03,3.139,SPEAKER_01,agent,若兩位都是受益人，通常各自填寫申請書並附身分證明，給付會依受益比例辦理。,,
v2_core005,clean_turn_taking,mandarin,46.07,21,31.081,32.988,1.907,SPEAKER_01,agent,若兩位都是受益人，通常各自填寫申請書並附身分證明，給付會依受益比例辦理。,,
v2_core005,clean_turn_taking,mandarin,46.07,22,33.376,36.245,2.869,SPEAKER_00,customer,戶籍謄本要全戶還是個人？,,
v2_core005,clean_turn_taking,mandarin,46.07,23,36.785,39.434,2.649,SPEAKER_01,agent,建議申請含除戶記事的戶籍謄本，能看出被保險人死亡登記和親屬關係。,,
v2_core005,clean_turn_taking,mandarin,46.07,24,39.772,43.045,3.274,SPEAKER_01,agent,建議申請含除戶記事的戶籍謄本，能看出被保險人死亡登記和親屬關係。,,
v2_core005,clean_turn_taking,mandarin,46.07,25,43.417,43.788,0.371,SPEAKER_00,customer,好，我明天先去戶政辦。,,
v2_core005,clean_turn_taking,mandarin,46.07,26,43.957,46.015,2.059,SPEAKER_00,customer,好，我明天先去戶政辦。,,
v2_core006,reentry_short_gap,mandarin,45.23,0,0.031,0.571,0.54,SPEAKER_00,agent,您好，凱基人壽，我姓宋。,,
v2_core006,reentry_short_gap,mandarin,45.23,1,0.858,1.6,0.743,SPEAKER_00,agent,您好，凱基人壽，我姓宋。,,
v2_core006,reentry_short_gap,mandarin,45.23,2,1.904,2.461,0.557,SPEAKER_00,agent,您好，凱基人壽，我姓宋。,,
v2_core006,reentry_short_gap,mandarin,45.23,3,3.001,3.895,0.894,SPEAKER_01,customer,宋先生，我要申請住院日額，但出院日我記成星期三或星期四，不太確定。,,
v2_core006,reentry_short_gap,mandarin,45.23,4,4.115,6.157,2.042,SPEAKER_01,customer,宋先生，我要申請住院日額，但出院日我記成星期三或星期四，不太確定。,,
v2_core006,reentry_short_gap,mandarin,45.23,5,6.427,10.274,3.848,SPEAKER_01,customer,宋先生，我要申請住院日額，但出院日我記成星期三或星期四，不太確定。,,
v2_core006,reentry_short_gap,mandarin,45.23,6,10.46,11.422,0.962,SPEAKER_01,customer,宋先生，我要申請住院日額，但出院日我記成星期三或星期四，不太確定。,,
v2_core006,reentry_short_gap,mandarin,45.23,7,11.877,14.29,2.413,SPEAKER_00,agent,可以用健保快易通或出院證明確認。您先查看，我在線上等。,,
v2_core006,reentry_short_gap,mandarin,45.23,8,15.556,16.4,0.844,SPEAKER_00,agent,可以用健保快易通或出院證明確認。您先查看，我在線上等。,,
v2_core006,reentry_short_gap,mandarin,45.23,9,16.737,17.53,0.793,SPEAKER_00,agent,可以用健保快易通或出院證明確認。您先查看，我在線上等。,,
v2_core006,reentry_short_gap,mandarin,45.23,10,23.15,24.196,1.046,SPEAKER_01,customer,我查到了，住院是四月八日到四月十二日，總共五天。,,
v2_core006,reentry_short_gap,mandarin,45.23,11,24.398,29.039,4.641,SPEAKER_01,customer,我查到了，住院是四月八日到四月十二日，總共五天。,,
v2_core006,reentry_short_gap,mandarin,45.23,12,29.579,29.967,0.388,SPEAKER_00,agent,好的，我先記錄五天。正式審核仍會以診斷證明和收據日期為準。,,
v2_core006,reentry_short_gap,mandarin,45.23,13,30.338,31.25,0.911,SPEAKER_00,agent,好的，我先記錄五天。正式審核仍會以診斷證明和收據日期為準。,,
v2_core006,reentry_short_gap,mandarin,45.23,14,32.363,35.317,2.953,SPEAKER_00,agent,好的，我先記錄五天。正式審核仍會以診斷證明和收據日期為準。,,
v2_core006,reentry_short_gap,mandarin,45.23,15,35.806,38.253,2.447,SPEAKER_01,customer,如果醫院寫四晚五天，這樣會不會算錯？,,
v2_core006,reentry_short_gap,mandarin,45.23,16,38.472,40.261,1.789,SPEAKER_01,customer,如果醫院寫四晚五天，這樣會不會算錯？,,
v2_core006,reentry_short_gap,mandarin,45.23,17,40.717,41.155,0.439,SPEAKER_00,agent,不會，理賠會依條款和住院證明認定，不只看您口頭描述。,,
v2_core006,reentry_short_gap,mandarin,45.23,18,41.493,43.585,2.092,SPEAKER_00,agent,不會，理賠會依條款和住院證明認定，不只看您口頭描述。,,
v2_core006,reentry_short_gap,mandarin,45.23,19,43.94,45.155,1.215,SPEAKER_00,agent,不會，理賠會依條款和住院證明認定，不只看您口頭描述。,,
v2_core007,reentry_short_gap,mandarin,41.99,0,0.031,1.685,1.654,SPEAKER_01,agent,凱基人壽您好，我姓傅。,,
v2_core007,reentry_short_gap,mandarin,41.99,1,1.803,2.748,0.945,SPEAKER_01,agent,凱基人壽您好，我姓傅。,,
v2_core007,reentry_short_gap,mandarin,41.99,2,3.22,5.279,2.059,SPEAKER_00,customer,我收到投資標的暫停申購通知，不知道我的轉換申請有沒有受影響。,,
v2_core007,reentry_short_gap,mandarin,41.99,3,5.583,7.76,2.177,SPEAKER_00,customer,我收到投資標的暫停申購通知，不知道我的轉換申請有沒有受影響。,,
v2_core007,reentry_short_gap,mandarin,41.99,4,8.266,10.73,2.464,SPEAKER_01,agent,通知上應該有標的代碼。請您看一下代碼，我才能確認是不是同一個標的。,,
v2_core007,reentry_short_gap,mandarin,41.99,5,11.658,13.396,1.738,SPEAKER_01,agent,通知上應該有標的代碼。請您看一下代碼，我才能確認是不是同一個標的。,,
v2_core007,reentry_short_gap,mandarin,41.99,6,13.632,16.703,3.071,SPEAKER_01,agent,通知上應該有標的代碼。請您看一下代碼，我才能確認是不是同一個標的。,,
v2_core007,reentry_short_gap,mandarin,41.99,7,23.808,24.027,0.219,SPEAKER_01,agent,看到了，代碼是 U S B O N D 二零三。,,
v2_core007,reentry_short_gap,mandarin,41.99,8,24.027,24.297,0.27,SPEAKER_00,customer,看到了，代碼是 U S B O N D 二零三。,,
v2_core007,reentry_short_gap,mandarin,41.99,9,24.297,24.331,0.034,SPEAKER_01,agent,看到了，代碼是 U S B O N D 二零三。,,
v2_core007,reentry_short_gap,mandarin,41.99,10,24.635,24.652,0.017,SPEAKER_01,agent,看到了，代碼是 U S B O N D 二零三。,,
v2_core007,reentry_short_gap,mandarin,41.99,11,24.652,26.525,1.873,SPEAKER_00,customer,看到了，代碼是 U S B O N D 二零三。,,
v2_core007,reentry_short_gap,mandarin,41.99,12,27.065,29.039,1.974,SPEAKER_01,agent,這個是債券型標的，暫停申購不一定影響轉出，但會影響轉入。,,
v2_core007,reentry_short_gap,mandarin,41.99,13,29.326,32.11,2.784,SPEAKER_01,agent,這個是債券型標的，暫停申購不一定影響轉出，但會影響轉入。,,
v2_core007,reentry_short_gap,mandarin,41.99,14,32.363,33.865,1.502,SPEAKER_01,agent,這個是債券型標的，暫停申購不一定影響轉出，但會影響轉入。,,
v2_core007,reentry_short_gap,mandarin,41.99,15,34.287,35.823,1.536,SPEAKER_00,customer,我是要從那個標的轉出去，所以還可以送嗎？,,
v2_core007,reentry_short_gap,mandarin,41.99,16,36.194,37.139,0.945,SPEAKER_00,customer,我是要從那個標的轉出去，所以還可以送嗎？,,
v2_core007,reentry_short_gap,mandarin,41.99,17,37.612,38.438,0.827,SPEAKER_01,agent,可以送，但實際淨值日仍要依公司公告。,,
v2_core007,reentry_short_gap,mandarin,41.99,18,38.607,41.965,3.358,SPEAKER_01,agent,可以送，但實際淨值日仍要依公司公告。,,
v2_core008,reentry_short_gap,mandarin,31.49,0,0.031,0.048,0.017,SPEAKER_01,customer,你剛才說診斷證明要完整，我現在手上這張不知道有沒有醫師章。,,
v2_core008,reentry_short_gap,mandarin,31.49,1,0.048,2.815,2.768,SPEAKER_00,customer,你剛才說診斷證明要完整，我現在手上這張不知道有沒有醫師章。,,
v2_core008,reentry_short_gap,mandarin,31.49,2,3.136,7.068,3.932,SPEAKER_00,customer,你剛才說診斷證明要完整，我現在手上這張不知道有沒有醫師章。,,
v2_core008,reentry_short_gap,mandarin,31.49,3,7.557,10.122,2.565,SPEAKER_00,customer,請您看右下角或醫師姓名旁邊，通常會有醫師章或醫院章。,,
v2_core008,reentry_short_gap,mandarin,31.49,4,10.122,10.139,0.017,SPEAKER_01,customer,請您看右下角或醫師姓名旁邊，通常會有醫師章或醫院章。,,
v2_core008,reentry_short_gap,mandarin,31.49,5,10.409,10.966,0.557,SPEAKER_00,customer,請您看右下角或醫師姓名旁邊，通常會有醫師章或醫院章。,,
v2_core008,reentry_short_gap,mandarin,31.49,6,10.966,12.603,1.637,SPEAKER_01,customer,請您看右下角或醫師姓名旁邊，通常會有醫師章或醫院章。,,
v2_core008,reentry_short_gap,mandarin,31.49,7,16.72,18.661,1.941,SPEAKER_01,customer,找到了，有醫師章，但是沒有住院天數。,,
v2_core008,reentry_short_gap,mandarin,31.49,8,18.813,19.032,0.219,SPEAKER_01,customer,找到了，有醫師章，但是沒有住院天數。,,
v2_core008,reentry_short_gap,mandarin,31.49,9,19.032,20.855,1.822,SPEAKER_00,customer,找到了，有醫師章，但是沒有住院天數。,,
v2_core008,reentry_short_gap,mandarin,31.49,10,21.378,22.745,1.367,SPEAKER_00,customer,若沒有住院天數，請再附住院證明或出院病摘，避免日額計算缺依據。,,
v2_core008,reentry_short_gap,mandarin,31.49,11,22.947,25.428,2.481,SPEAKER_00,customer,若沒有住院天數，請再附住院證明或出院病摘，避免日額計算缺依據。,,
v2_core008,reentry_short_gap,mandarin,31.49,12,25.647,27.402,1.755,SPEAKER_00,customer,若沒有住院天數，請再附住院證明或出院病摘，避免日額計算缺依據。,,
v2_core008,reentry_short_gap,mandarin,31.49,13,27.824,31.452,3.628,SPEAKER_00,customer,那我回醫院補出院病摘比較保險。,,
v2_core009,reentry_short_gap,mandarin,36.66,0,0.031,0.554,0.523,SPEAKER_00,agent,您好，凱基人壽客服中心，我姓涂。,,
v2_core009,reentry_short_gap,mandarin,36.66,1,0.892,2.343,1.451,SPEAKER_00,agent,您好，凱基人壽客服中心，我姓涂。,,
v2_core009,reentry_short_gap,mandarin,36.66,2,2.562,3.17,0.608,SPEAKER_00,agent,您好，凱基人壽客服中心，我姓涂。,,
v2_core009,reentry_short_gap,mandarin,36.66,3,3.659,5.33,1.671,SPEAKER_01,customer,我想換扣款信用卡，但舊卡是哪一張我忘了。,,
v2_core009,reentry_short_gap,mandarin,36.66,4,5.549,7.388,1.839,SPEAKER_01,customer,我想換扣款信用卡，但舊卡是哪一張我忘了。,,
v2_core009,reentry_short_gap,mandarin,36.66,5,7.827,10.004,2.177,SPEAKER_00,agent,您可以看舊授權書或銀行帳單。我這邊先等您確認末四碼。,,
v2_core009,reentry_short_gap,mandarin,36.66,6,11.084,12.805,1.721,SPEAKER_00,agent,您可以看舊授權書或銀行帳單。我這邊先等您確認末四碼。,,
v2_core009,reentry_short_gap,mandarin,36.66,7,19.37,21.479,2.109,SPEAKER_01,customer,舊卡末四碼是六八零一，新卡要改成二二五九。,,
v2_core009,reentry_short_gap,mandarin,36.66,8,21.513,23.453,1.941,SPEAKER_01,customer,舊卡末四碼是六八零一，新卡要改成二二五九。,,
v2_core009,reentry_short_gap,mandarin,36.66,9,23.943,24.601,0.658,SPEAKER_00,agent,我先提醒，電話中不能直接登錄完整卡號，我會傳線上授權連結給您。,,
v2_core009,reentry_short_gap,mandarin,36.66,10,25.057,27.031,1.974,SPEAKER_00,agent,我先提醒，電話中不能直接登錄完整卡號，我會傳線上授權連結給您。,,
v2_core009,reentry_short_gap,mandarin,36.66,11,27.352,29.14,1.789,SPEAKER_00,agent,我先提醒，電話中不能直接登錄完整卡號，我會傳線上授權連結給您。,,
v2_core009,reentry_short_gap,mandarin,36.66,12,29.545,29.883,0.338,SPEAKER_01,customer,好，我只要知道不是要跑分公司就好。,,
v2_core009,reentry_short_gap,mandarin,36.66,13,30.068,32.633,2.565,SPEAKER_01,customer,好，我只要知道不是要跑分公司就好。,,
v2_core009,reentry_short_gap,mandarin,36.66,14,33.072,34.051,0.979,SPEAKER_00,agent,不用跑分公司，線上授權完成後會由系統審核。,,
